date,symbol,close
2022-01-03,AAPL,99.28
2022-01-03,GOOG,149.13
2022-01-03,TSLA,201.87
2022-01-03,AMZN,250.18
2022-01-03,MSFT,293.11
2022-01-03,NVDA,344.33
2022-01-03,META,394.96
2022-01-03,NFLX,446.05
2022-01-03,BABA,502.18
2022-01-03,INTC,549.4
2022-01-04,AAPL,95.92
2022-01-04,GOOG,146.0
2022-01-04,TSLA,196.03
2022-01-04,AMZN,246.16
2022-01-04,MSFT,303.69
2022-01-04,NVDA,346.81
2022-01-04,META,399.6
2022-01-04,NFLX,454.01
2022-01-04,BABA,504.21
2022-01-04,INTC,551.23
2022-01-05,AAPL,97.77
2022-01-05,GOOG,150.28
2022-01-05,TSLA,195.01
2022-01-05,AMZN,252.87
2022-01-05,MSFT,304.07
2022-01-05,NVDA,349.56
2022-01-05,META,403.64
2022-01-05,NFLX,448.57
2022-01-05,BABA,499.35
2022-01-05,INTC,552.05
2022-01-06,AAPL,108.39
2022-01-06,GOOG,148.35
2022-01-06,TSLA,190.36
2022-01-06,AMZN,254.14
2022-01-06,MSFT,299.37
2022-01-06,NVDA,344.53
2022-01-06,META,400.03
2022-01-06,NFLX,445.87
2022-01-06,BABA,501.67
2022-01-06,INTC,553.34
2022-01-07,AAPL,108.93
2022-01-07,GOOG,153.08
2022-01-07,TSLA,205.35
2022-01-07,AMZN,242.07
2022-01-07,MSFT,302.7
2022-01-07,NVDA,354.34
2022-01-07,META,391.82
2022-01-07,NFLX,449.88
2022-01-07,BABA,509.43
2022-01-07,INTC,548.32
2022-01-10,AAPL,100.99
2022-01-10,GOOG,153.43
2022-01-10,TSLA,198.84
2022-01-10,AMZN,241.57
2022-01-10,MSFT,299.12
2022-01-10,NVDA,348.22
2022-01-10,META,406.64
2022-01-10,NFLX,455.21
2022-01-10,BABA,504.56
2022-01-10,INTC,554.1
2022-01-11,AAPL,98.66
2022-01-11,GOOG,144.95
2022-01-11,TSLA,189.29
2022-01-11,AMZN,253.84
2022-01-11,MSFT,295.9
2022-01-11,NVDA,353.64
2022-01-11,META,405.27
2022-01-11,NFLX,449.07
2022-01-11,BABA,494.43
2022-01-11,INTC,551.92
2022-01-12,AAPL,104.58
2022-01-12,GOOG,148.21
2022-01-12,TSLA,196.73
2022-01-12,AMZN,235.75
2022-01-12,MSFT,304.98
2022-01-12,NVDA,347.97
2022-01-12,META,397.78
2022-01-12,NFLX,454.97
2022-01-12,BABA,496.37
2022-01-12,INTC,554.93
2022-01-13,AAPL,104.23
2022-01-13,GOOG,158.74
2022-01-13,TSLA,195.77
2022-01-13,AMZN,250.57
2022-01-13,MSFT,292.07
2022-01-13,NVDA,357.05
2022-01-13,META,406.24
2022-01-13,NFLX,447.28
2022-01-13,BABA,501.33
2022-01-13,INTC,544.26
2022-01-14,AAPL,97.7
2022-01-14,GOOG,143.6
2022-01-14,TSLA,203.63
2022-01-14,AMZN,251.37
2022-01-14,MSFT,301.86
2022-01-14,NVDA,362.47
2022-01-14,META,403.27
2022-01-14,NFLX,450.72
2022-01-14,BABA,492.32
2022-01-14,INTC,550.54
2022-01-17,AAPL,95.11
2022-01-17,GOOG,150.03
2022-01-17,TSLA,195.84
2022-01-17,AMZN,256.98
2022-01-17,MSFT,296.96
2022-01-17,NVDA,347.59
2022-01-17,META,398.74
2022-01-17,NFLX,450.07
2022-01-17,BABA,495.0
2022-01-17,INTC,551.96
2022-01-18,AAPL,103.01
2022-01-18,GOOG,161.05
2022-01-18,TSLA,193.4
2022-01-18,AMZN,245.32
2022-01-18,MSFT,
2022-01-18,NVDA,356.81
2022-01-18,META,399.35
2022-01-18,NFLX,450.83
2022-01-18,BABA,496.8
2022-01-18,INTC,555.55
2022-01-19,AAPL,
2022-01-19,GOOG,145.94
2022-01-19,TSLA,200.7
2022-01-19,AMZN,254.82
2022-01-19,MSFT,303.8
2022-01-19,NVDA,355.13
2022-01-19,META,400.33
2022-01-19,NFLX,448.94
2022-01-19,BABA,501.76
2022-01-19,INTC,539.32
2022-01-20,AAPL,97.9
2022-01-20,GOOG,150.48
2022-01-20,TSLA,207.31
2022-01-20,AMZN,243.9
2022-01-20,MSFT,289.81
2022-01-20,NVDA,347.85
2022-01-20,META,400.96
2022-01-20,NFLX,439.54
2022-01-20,BABA,498.89
2022-01-20,INTC,554.03
2022-01-21,AAPL,99.46
2022-01-21,GOOG,150.55
2022-01-21,TSLA,194.93
2022-01-21,AMZN,245.71
2022-01-21,MSFT,303.74
2022-01-21,NVDA,354.25
2022-01-21,META,398.27
2022-01-21,NFLX,451.91
2022-01-21,BABA,501.54
2022-01-21,INTC,554.76
2022-01-24,AAPL,102.14
2022-01-24,GOOG,163.19
2022-01-24,TSLA,203.51
2022-01-24,AMZN,249.68
2022-01-24,MSFT,299.49
2022-01-24,NVDA,360.43
2022-01-24,META,397.26
2022-01-24,NFLX,452.83
2022-01-24,BABA,498.34
2022-01-24,INTC,547.1
2022-01-25,AAPL,103.72
2022-01-25,GOOG,153.94
2022-01-25,TSLA,207.88
2022-01-25,AMZN,257.74
2022-01-25,MSFT,298.12
2022-01-25,NVDA,
2022-01-25,META,390.34
2022-01-25,NFLX,451.8
2022-01-25,BABA,505.9
2022-01-25,INTC,555.34
2022-01-26,AAPL,98.9
2022-01-26,GOOG,146.98
2022-01-26,TSLA,198.21
2022-01-26,AMZN,255.31
2022-01-26,MSFT,306.15
2022-01-26,NVDA,357.5
2022-01-26,META,403.51
2022-01-26,NFLX,442.91
2022-01-26,BABA,494.83
2022-01-26,INTC,551.73
